Number of Records,Agency Name,City,Distinct Users Non Lupa,Outlier Payments As A Percent Of Medicare Payment Amount Non Lupa,Provider Id,State,Street Address,Total Episodes Non Lupa,Total Hha Charge Amount Non Lupa,Total Hha Medicare Payment Amount For Lupas,Total Hha Medicare Payment Amount Non Lupa,Total Hha Medicare Standard Payment Amount Non Lupa,Total Lupa Episodes,Zip Code
1,"AMERICARE CERTIFIED SPECIAL SERVICES, INC CHHA",BROOKLYN,2310,10,337290,NY,5923 STRICKLAND AVENUE,3148,14112445,108050,12667998,9482140,259,11234
1,"BRADBOURNE HEALTHCARE, INC",IRWINDALE,297,10,58217,CA,16029 ARROW HIGHWAY SUITE A,620,1786721,,2257118,1768714,,91706
1,"INSIGHT HEALTH CARE PROVIDERS, INC",BREA,15,11,58419,CA,"500 S KRAEMER BLVD, #240",19,127300,,87592,68536,,92821
1,"D & N HOME HEALTH SERVICES, INC.",HIALEAH,63,10,108167,FL,1140 W 50 ST STE 305,208,1399981,,985102,894280,,33012
1,PSN HEALTH CARE CORP,MIAMI GARDENS,18,12,109023,FL,17670 NW 78 AVE   STE 213,59,460554,,194515,171470,,33015
1,"RAINBOW HOME HEALTH SERVICES, LLC",MIAMI LAKES,54,10,109029,FL,"15165 NW 77 AVENUE, SUITE 2013",127,554558,,456694,414227,,33014
1,MARTINS FLORIDA ELDER CARE INC,VIRGINIA GARDENS,77,10,109181,FL,"6501 NW 36ST, STE 307A",297,1586487,,952093,859332,,33166
1,LIFETIME HOME HEALTH CARE CORP,MIAMI,134,10,109383,FL,8785 SW 165TH AVENUE SUITE 107A,218,1002418,,856195,776683,,33193
1,"SUPREME HOME HEALTH CARE, LLC",MIRAMAR,51,11,109437,FL,"8910 MIRAMAR PKWY, STE 305",100,451615,,359780,317435,,33025
1,ADVANCE HOME HEALTH CARE INC,MIAMI,128,10,109589,FL,9835 SW 72ND STREET SUITE 204,165,400500,,959078,868683,,33173
1,POTENTIAL HOME HEALTH CARE,MIAMI,38,10,109694,FL,9560 SW 107 AVE BLDG A STE 108,76,351324,,321375,291756,,33176
1,MERCY HOME HEALTHCARE AGENCY,WICHITA,26,10,178089,KS,2102 EAST 21ST STREET NORTH #B,70,320066,,194141,196186,,67214
1,BARNABAS HEALTH CARE SERV,BRAINERD,20,10,248048,MN,223 WASHINGTON STREET,47,182127,,135699,136943,,56401
1,"OMNICARE HOME HEALTH AGENCY, LLC",BEACHWOOD,11,19,368049,OH,"24800 CHAGRIN BLVD, SUITE 105",19,88850,,71124,63146,,44122
1,"AGAPE CHRISTIAN HOME HEALTH CARE, LLC",TIPP CITY,13,11,368342,OH,8355 FLICK ROAD,25,93300,,60761,58664,,45371
1,RESOURCE CARE CORPORATION,HOUSTON,44,11,453160,TX,7211 REGENCY SQUARE 116,139,286884,,321754,307315,,77036
1,AMISTAD HOME CARE SERVICES INC,PHARR,23,10,453175,TX,216 EAST EXPRESSWAY 83 SUITE J,32,74090,,71262,74593,,78577
1,"SPECIALTY NURSING SERVICES, INC",HUNTSVILLE,120,10,467110,UT,620 SOUTH 9500 EAST,368,2759306,,1088389,1101765,,84317
1,COZY HOME HEALTH CARE,SOUTH JORDAN,39,10,467210,UT,1341 W SOUTH JORDAN PARKWAY,66,286406,,264387,261271,,84095
1,ST JUDE HOME HEALTH CORP,DOWNEY,40,10,557788,CA,8012 ALAMEDA STREET,79,492301,,273531,216365,,90242
1,ESTELLES HOME HEALTH AGENCY INC,ARLINGTON,12,10,747357,TX,705 E ABRAM STREET SUITE 201,14,23455,,28449,26437,,76010
1,"HOME CARE RESOURCES HOME HEALTH AGENCY, INC.",MIAMI,54,10,108265,FL,"11601 BISCAYNE BLVD, STE 309",181,1024300,0,612958,555941,0,33181
1,HEALTHCARE UNLIMITED OF FLORIDA INC,MIAMI,12,12,108367,FL,7071 SW 47 ST,16,36880,0,44916,39482,0,33155
1,LOVABLE HOME HEALTH SERVICES CORP,MIAMI,94,10,108404,FL,1865 BRICKELL AVE STE A - 209,217,1396001,0,1028790,949933,0,33129
1,HEALTHY HOME HEALTH CARE INC,MIAMI LAKES,67,10,108468,FL,5795 NW 151 ST STE 5795B,104,571190,0,489861,443063,0,33014
1,EFFECTIVE HOME HEALTH CARE SERVICES INC,MIAMI,13,10,109381,FL,10300 SUNSET DR  STE 360,13,45900,0,71925,64663,0,33173
1,DIMENSION HOME HEALTH CARE INC,MIAMI,49,10,109407,FL,6135 NW 167TH ST STE E-28,69,281989,0,356097,321846,0,33014
1,"REDEEMER HOME HEALTH SERVICES, LLC",GLENOLDEN,28,10,398165,PA,112 WEST OAK LANE,67,373618,0,333877,285756,0,19036
1,VIRGIN HEALTH CORPORATION INC,MIAMI,202,10,108302,FL,7235 CORPORATE CENTER DR BAY H,568,3925897,5033,1748362,1613563,16,33126
1,PATIENT'S CHOICE HOME HEALTH CARE INC,MIAMI,38,10,108379,FL,10300 SUNSET DRIVE SUITE 310,96,488807,10878,282100,255475,27,33184
1,GRANDCARE HOME HEALTH LLC,FORT WORTH,220,10,747394,TX,4701 ARDENWOOD DRIVE,773,2175373,10111,2016621,1971446,30,76123
1,ALACARE HOME HEALTH & HOSPICE,BIRMINGHAM,6211,0,17009,AL,2970 LORNA ROAD,12096,30263356,320331,28901930,35087805,1138,35216
1,GENTIVA HEALTH SERVICES,ENTERPRISE,459,0,17013,AL,"557 GLOVER STREET, SUITE 5",809,2811738,13475,2224491,2862609,54,36330
1,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,ONEONTA,322,0,17014,AL,"1106 2ND AVENUE E, SUITE E",463,1389586,17068,1188646,1463926,59,35121
1,SOUTHEAST ALABAMA HOMECARE,ENTERPRISE,502,0,17016,AL,804 GLOVER AVENUE,963,2842744,29735,2182725,2760829,109,36330
1,GENTIVA HEALTH SERVICES,RAINBOW CITY,1227,0,17018,AL,"3225 RAINBOW STREET, SUITE 256",2649,8885133,42769,6910206,8699973,170,35906
1,AMEDISYS HOME HEALTH CARE,MOBILE,641,0,17020,AL,"273 AZALEA ROAD, SUITE 104, BLDG 2",1028,3032311,35139,2512459,3187450,126,36609
1,SOUTHEAST ALABAMA HOMECARE,DOTHAN,1090,0,17024,AL,"810 HEDSTROM DRIVE, SUITE ONE",2172,6542842,99276,4842608,6141106,358,36301
1,SAAD HEALTHCARE,MOBILE,1148,0,17025,AL,"1515 UNIVERSITY BLVD, SOUTH",2321,7162296,54841,5876044,7395974,206,36609
1,GENTIVA HEALTH SERVICES,BIRMINGHAM,652,0,17026,AL,"2200 RIVERCHASE PARKWAY, BUILDING 700",985,3372324,30332,2867132,3296095,102,35244
1,HGA HOMECARE OF DECATUR,DECATUR,960,0,17027,AL,"2708 HIGHWAY 31 SOUTH, SUITE B",1985,5810130,52848,4620396,5892336,192,35603
1,CENTRAL ALABAMA HOMECARE,FULTONDALE,450,0,17028,AL,345 WALKER CHAPEL PLAZA,760,2564139,19693,2304601,2639945,68,35068
1,MERCY MEDICAL HOME HEALTH,DAPHNE,490,0,17034,AL,101 B VILLA DRIVE,997,2631447,30331,2620728,3320042,98,36526
1,INFIRMARY HOMECARE OF MOBILE,MOBILE,1142,0,17035,AL,"4358 MIDMOST DRIVE, SUITE A",1963,5980053,85060,4627104,5823000,294,36609
1,BAPTIST HOME HEALTH,MONTGOMERY,618,0,17037,AL,"300 INTERSTATE PARK DRIVE, SUITE 312",916,3090899,41411,2235281,2741731,145,36109
1,AMEDISYS HOME HEALTH OF HUNTSVILLE,HUNTSVILLE,1483,0,17039,AL,"7047 OLD MADISON PIKE, SUITE 305",2254,6929707,72546,6381768,7552128,261,35806
1,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,HOMEWOOD,1013,0,17051,AL,"2204 LAKESHORE DRIVE, SUITE 110",1553,4732108,60733,4581867,5273846,216,35209
1,CARESOUTH HOMECARE PROFESSIONALS,DOTHAN,1305,0,17053,AL,"3700 ROSS CLARK CIRCLE, SUITE 1",2150,6657396,29184,5911472,7310001,109,36303
1,GENTIVA HEALTH SERVICES,PRATTVILLE,310,0,17055,AL,1294-A EAST MAIN STREET,493,1603284,19716,1340848,1647544,85,36066
1,GENTIVA HEALTH SERVICES,PIKE ROAD,564,0,17056,AL,"11123 CHANTILLY PARKWAY, UNIT L",941,2699784,30980,2380228,2934298,110,36064
1,GENTIVA HEALTH SERVICES,DAPHNE,484,0,17058,AL,"9037 INDEPENDENCE AVENUE, SUITE B",752,2621773,17536,1997523,2535053,64,36526
1,INTREPID USA HEALTHCARE SERVICES,BIRMINGHAM,368,0,17063,AL,"3918 MONTCLAIR RD, SUITE 202",823,2185773,23467,1930388,2382573,83,35209
1,AMEDISYS HOME HEALTH OF FOLEY,FOLEY,1044,0,17069,AL,1809 N MCKENZIE STREET,2027,5702542,51920,4939216,6263995,206,36535
1,AMEDISYS HOME HEALTH OF CITRONELLE,CITRONELLE,281,0,17070,AL,"19375 NORTH 3RD STREET, SUITE 101",629,1427486,15723,1411749,1797984,54,36522
1,GENTIVA HEALTH SERVICES,MOULTON,3131,0,17071,AL,12521 ALABAMA HIGHWAY 157,6472,21191749,199867,17036109,21205007,780,35650
1,AMEDISYS HOME HEALTH OF REFORM,REFORM,380,0,17078,AL,420 FIRST AVENUE WEST,781,2454766,29300,2079317,2627985,124,35481
1,DCH HOME HEALTH CARE AGENCY,TUSCALOOSA,1266,0,17080,AL,1401 GREENSBORO AVENUE,2105,5527099,78463,5163363,5898748,261,35401
1,HOME CARE PLUS,BIRMINGHAM,661,0,17083,AL,3950 AUTUMN LANE,972,2951102,16928,2772351,3169419,54,35243
1,GENTIVA HOME HEALTH SERVICES,SELMA,258,0,17084,AL,200 CENTRAL PARK PLACE,396,1143082,15085,909508,1169859,56,36701
1,COOSA VALLEY HOMECARE,SYLACAUGA,388,0,17085,AL,315 WEST HICKORY STREET,673,2062698,18042,1470897,1852536,63,35150
1,FAYETTE MEDICAL CENTER HOMECARE,FAYETTE,283,0,17088,AL,"102 2ND AVENUE, SE",611,2050545,18512,1551835,1957739,67,35555
1,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,CULLMAN,288,0,17089,AL,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",354,575785,17077,811591,1021569,55,35058
1,GENTIVA HEALTH SERVICES,GILBERTOWN,275,0,17090,AL,"12731 HIGHWAY 17, SUITE 3",514,1399699,12921,1093871,1380098,55,36908
1,HALE COUNTY HOSPITAL HOME HEALTH,GREENSBORO,192,0,17091,AL,506 GREENE STREET,469,638691,10867,979510,1120450,52,36744
1,ATHENS-LIMESTONE HOMECARE,ATHENS,520,0,17095,AL,1428 FREEMAN AVENUE,1077,3200646,21991,2818005,3195560,69,35613
1,TROY REGIONAL MEDICAL CENTER,TROY,162,0,17096,AL,1330 HIGHWAY 231 SOUTH,332,663262,14150,665243,842033,56,36081
1,"CLAY COUNTY HOSPITAL HOME CARE, LLC",ASHLAND,244,0,17097,AL,83825 HIGHWAY 9,479,1226962,15529,1001404,1268735,56,36251
1,MARION REGIONAL HOMECARE,HAMILTON,214,0,17100,AL,1186 MILITARY STREET SOUTH,478,1544287,17282,1169600,1480562,69,35570
1,BRYAN W WHITFIELD MEM HOSP,DEMOPOLIS,247,0,17103,AL,HWY 80 E,534,756833,21367,930254,1157820,86,36732
1,SUNCREST HOME HEALTH,CLANTON,503,0,17107,AL,222 7TH STREET SOUTH,889,2131662,14680,2501232,2891281,50,35045
1,GADSDEN REGIONAL HOME HEALTH,ATTALLA,271,0,17115,AL,82 INDUSTRIAL BOULEVARD,513,1276242,13089,1083008,1341687,50,35954
1,IVY CREEK HOME HEALTH OF ELMORE,WETUMPKA,409,0,17116,AL,15 CAMBRIDGE COURT,849,1629942,20028,1938832,2362126,76,36092
1,LAKE MARTIN HOME HEALTH,DADEVILLE,608,0,17117,AL,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",1808,2852703,25401,3462853,4382869,94,36853
1,"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER",MOULTON,144,0,17118,AL,"15190 COURT STREET, SUITE B",231,580151,17068,514209,658279,81,35650
1,HGA HOMECARE OF HUNTSVILLE,HUNTSVILLE,1201,0,17119,AL,"6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400",1887,5955120,92145,5228502,5913777,283,35806
1,GENTIVA HEALTH SERVICES,ANDALUSIA,496,0,17121,AL,1309 ANTIOCH ROAD,895,2859039,23500,2310409,2951199,101,36420
1,KELLER HOME CARE,RED BAY,463,0,17125,AL,217 HOSPITAL ROAD,1073,3118809,41445,2480349,3092607,138,35582
1,MEDICAL CENTERS HOMECARE,GUNTERSVILLE,730,0,17128,AL,11687 US HWY 431,1646,5288834,60943,4040302,5111093,237,35976
1,HOMECARE OF EAST ALABAMA MEDICAL CENTER,AUBURN,850,0,17129,AL,"665 OPELIKA ROAD, SUITE 300",1424,3906326,64785,3234592,4018627,210,36830
1,INFIRMARY HOMECARE OF GROVE HILL,GROVE HILL,414,0,17130,AL,127-C CLARKE STREET,762,2185201,24376,1687441,2137949,94,36451
1,LHC HOMECARE OF SOUTH ALABAMA,OPP,698,0,17134,AL,700 BRANTLEY STREET,1634,5027450,43232,3765501,4759472,165,36467
1,D W MCMILLAN HOME HEALTH,BREWTON,371,0,17143,AL,114 W JACKSON STREET,1000,2923040,20272,2286106,2901093,78,36426
1,THOMAS HOME HEALTH,FAIRHOPE,556,0,17148,AL,"7530 PARKER ROAD, SUITE 200",1111,3645314,30177,2750590,3484354,106,36532
1,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,HOOVER,1137,0,17149,AL,"1400 URBAN CENTER DRIVE, SUITE 240",1825,4408420,34300,4913461,5755107,106,35242
1,GENTIVA HEALTH SERVICES,ANNISTON,518,0,17151,AL,1328 GREENBRIER-DEAR ROAD,861,2822179,20354,2218904,2809648,82,36207
1,COMFORT CARE HOME HEALTH,ALABASTER,1283,0,17153,AL,1249 5TH STREET SOUTHWEST,2357,5461938,77496,5914706,6814990,259,35007
1,AMEDISYS HOME HEALTH,TRUSSVILLE,319,0,17154,AL,"4735 NORREL DRIVE, SUITE 125",453,1348649,20885,1297068,1499875,61,35173
1,AMEDISYS HOME HEALTH OF OZARK,OZARK,241,0,17159,AL,"123 S PAINTER AVENUE, SUITE C",371,939928,14531,880404,1128927,54,36360
1,GENTIVA HEALTH SERVICES,HUNTSVILLE,695,0,17161,AL,"185 CHATEAU DRIVE, SW, SUITE 102",1179,3979761,34483,3534932,4019097,119,35801
1,GENTIVA HEALTH SERVICES,DOTHAN,767,0,17164,AL,2740 HEADLAND AVE,1189,4051293,25282,3183066,4075400,94,36303
1,AMEDISYS HOME HEALTH OF FLORENCE,FLORENCE,727,0,17165,AL,"412 S COURT STREET, SUITE 403",1532,4315492,37931,3930116,4885536,137,35630
1,GENTIVA HEALTH SERVICES,CLANTON,243,0,17166,AL,118 6TH STREET SOUTH,365,1267646,14899,1121562,1296856,49,35045
1,GENTIVA HEALTH SERVICES,MOBILE,752,0,17168,AL,824 WESTERN AMERICA DRIVE,1089,3496476,24425,2769971,3552845,83,36609
1,GENTIVA HEALTH SERVICES,JASPER,476,0,17170,AL,1458 JONES DAIRY ROAD SUITE 100,766,2498607,29450,2334670,2727210,98,35501
1,GENTIVA HEALTH SERVICES,CULLMAN,296,0,17171,AL,1217 CULLMAN SHOPPING CENTER NW,514,1569792,13517,1359659,1706275,49,35055
1,AMEDISYS HOME HEALTH OF TUSCALOOSA,TUSCALOOSA,1628,0,17300,AL,"1300  MCFARLAND BOULEVARD NORTHEAST, SUITE 320",3247,10299048,143088,9588633,11218500,522,35406
1,AMEDISYS HOME HEALTH OF ANNISTON,ANNISTON,2364,0,17305,AL,"171 TOWN CENTER DR, SUITE MPS-4",4317,13385854,128132,11599558,14538219,474,36205
1,AMEDISYS HOME HEALTH OF MONTGOMERY,MONTGOMERY,1219,0,17319,AL,"300 INTERSTATE PARK DRIVE, SUITE 324",2003,5781644,83496,5549308,6718083,296,36109
1,AMEDISYS HOME HEALTH OF SELMA,SELMA,1536,0,17320,AL,108 EXECUTIVE PARK LANE,2699,6320449,76656,6158009,7696367,310,36701
1,ALACARE HOME HEALTH AND HOSPICE,TROY,2633,0,17324,AL,824 HIGHWAY 231 SOUTH,4746,11852647,119940,10830538,13602606,442,36081
