Number of Records,Agency Name,American Indian Or Alaska Native Beneficiaries,Asian Pacific Islander Beneficiaries,Average Age,Average Hcc Score,Average Number Of Home Health Aide Visits Per Episode Non Lupa,Average Number Of Medical Social Visits Per Episode Non Lupa,Average Number Of Ot Visits Per Episode Non Lupa,Average Number Of Pt Visits Per Episode Non Lupa,Average Number Of Skilled Nursing Visits Per Episode Non Lupa,Average Number Of St Visits Per Episode Non Lupa,Average Number Of Total Visits Per Episode Non Lupa,Black Beneficiaries,City,Distinct Beneficiaries Non Lupa,Dua Beneficiaries,Female Beneficiaries,Hispanic Beneficiaries,Male Beneficiaries,Nondual Beneficiaries,Other Unknown Beneficiaries,Outlier Payments As A Percent Of Medicare Payment Amount Non Lupa,Percent Of Beneficiaries With Alzheimers,Percent Of Beneficiaries With Asthma,Percent Of Beneficiaries With Atrial Fibrillation,Percent Of Beneficiaries With Cancer,Percent Of Beneficiaries With Chf,Percent Of Beneficiaries With Chronic Kidney Disease,Percent Of Beneficiaries With Copd,Percent Of Beneficiaries With Depression,Percent Of Beneficiaries With Diabetes,Percent Of Beneficiaries With Hyperlipidemia,Percent Of Beneficiaries With Hypertension,Percent Of Beneficiaries With Ihd,Percent Of Beneficiaries With Osteoporosis,Percent Of Beneficiaries With Ra Oa,Percent Of Beneficiaries With Schizophrenia,Percent Of Beneficiaries With Stroke,Provider Id,State,Street Address,Total Episodes Non Lupa,Total Hha Charge Amount Non Lupa,Total Hha Medicare Payment Amount For Lupas,Total Hha Medicare Payment Amount Non Lupa,Total Hha Medicare Standard Payment Amount Non Lupa,Total Lupa Episodes,White Beneficiaries,Zip Code
1,ALL AMERICAN HEALTHCARE INC,0,0,52,2.7,0,0,0.4,3.2,10.2,0,13.8,,HOUSTON,13,,,,,,0,0,0,31,8,0,31,15,69,62,62,31,,62,0,54,23,0,747203,TX,"9894 BISSONNET, SUITE #300",13,30093,0,29918,30567,0,,77036
1,JOYSTAR HOME HEALTH SERVICES LLC,0,0,53,1.76,0,0,0,0,8.5,0,8.5,28,RICHMOND,31,,,,,,0,0,13,23,3,3,19,19,32,71,52,45,,39,3,,26,0,747016,TX,2018 RUSTIC OAK LANE,31,47820,0,65397,68153,0,,77469
1,APHS HEALTHCARE SERVICES INC,0,0,54,2.04,0,0,0,2.4,9.2,0,11.7,14,HOUSTON,17,,,,,,0,0,6,12,6,0,41,35,41,47,59,59,,,6,,24,6,747145,TX,8747 EAST RYLANDER CIR,68,103326,,155952,159348,,,77071
1,SHEPHERD PERSONAL HOME HEALTH,0,,54,2.13,0.6,0,1.8,3.4,9.5,0,15.3,,MISSOURI CITY,52,,26,29,26,,,0,21,15,2,6,27,25,21,65,50,63,67,25,4,46,31,8,747429,TX,1806 CRESCENT OAK DR,203,437464,,540970,554461,,11,77459
1,NORTH DADE HOME HEALTH AGENCY INC,,0,54,1.88,3,0,0.1,1.5,13.4,0,17.9,39,NORTH MIAMI BEACH,61,,17,,44,,0,6.9,21,18,3,3,13,23,39,,46,51,,51,0,51,,8,109763,FL,633 NE 167TH ST STE 1103,137,299074,12244,295835,281938,34,18,33162
1,PROCARE HOMECARE,,,56,1.88,0,0.2,0,8.4,4.4,0.1,13.1,93,SOUTHFIELD,100,75,30,0,70,25,0,0,12,45,1,5,22,19,42,45,45,50,,46,2,,15,3,237745,MI,"23155 NORTHWESTERN HWY, SUITE 304",161,265222,16994,436870,468718,49,,48075
1,ODYSSEY II HOME HEALTH CARE INC,,,56,1.49,2.2,0,0,0,12.9,0,15.1,19,DALLAS,41,,11,,30,,0,8.3,32,12,0,0,22,12,63,44,41,51,,29,2,56,,7,457972,TX,738 W10TH ST,183,294036,,332040,318865,,16,75208
1,ACUTE HEALTHCARE SERVICES INC,0,,56,2.32,0,0.1,7,3.2,5.9,0,16.2,67,SUGAR LAND,75,59,28,,47,16,0,0,12,33,4,4,37,28,59,,60,65,,51,4,,36,11,747013,TX,12946 DAIRY ASHFORD RD SUITE 335,181,539053,,637595,664466,,,77478
1,DESTINY HOME HEALTH AGENCY,0,0,56,2.11,0,0,0,11.5,8.5,0.1,20.1,39,HOUSTON,40,,15,,25,,,0,15,23,0,0,35,18,30,48,48,50,,63,0,,33,5,747407,TX,"3300 SOUTH GESSNER, SUITE #114",90,325700,,295811,302257,,0,77063
1,NEIGHBOURS HEALTHCARE SERVICES INC,0,0,56,2.34,0,0,0,12.8,8.8,0,21.5,21,HOUSTON,25,,,,,,0,0,8,16,0,0,20,24,40,52,40,48,,60,0,,16,4,747900,TX,12611 LALEU LN,49,241708,,161241,164755,,,77071
1,"MILLENNIUM HOME HEALTH SERVICES, INC",0,0,56,2.62,0,0,0,11,9.4,0,20.4,43,HOUSTON,45,28,14,0,31,17,,0,9,16,0,7,38,36,18,27,36,40,,71,2,,13,9,747813,TX,15014 ROCK KNOLL DR,149,427201,0,469424,479550,0,,77083
1,HEFTY HEALTHCARE SERVICES INC,,0,56,1.72,0,0,0,7.2,8.7,0,15.8,97,HOUSTON,118,89,44,,74,29,0,0,11,31,3,2,22,24,31,60,47,42,,56,1,,25,4,747810,TX,9100 SOUTHWEST FREEWAY STE 225,213,417493,6701,544586,561262,20,14,77074
1,LIFELINE HEALTHCARE SERVICES,0,,56,2.16,0,0,0,3,7.6,0,10.7,117,HOUSTON,154,108,76,,78,46,0,0,10,32,2,7,26,27,36,63,50,56,,58,4,,27,3,747720,TX,"9800 CENTRE PARKWAY, SUITE #655",331,532508,7390,797243,816630,23,27,77036
1,ANOINTED HOME HEALTH CARE SERVICES INC,,,56,2.32,0,0,0,1.5,8.9,0,10.4,282,HOUSTON,313,239,104,,209,74,0,0,9,34,3,3,25,30,47,63,50,51,,47,2,73,27,4,453165,TX,6776 SOUTHWEST FREEWAY SUITE 220,526,1241555,9229,1181659,1231415,28,21,77074
1,UNITED HOME HEALTH CARE,0,0,57,1.81,0.2,0,0,15.2,3.8,0,19.3,309,FERNDALE,320,219,142,,178,101,0,0,7,33,2,5,27,22,58,35,52,53,,46,3,,12,8,237701,MI,"751 EAST NINE MILE ROAD, STE#2",490,1888801,,1708649,1829145,,,48220
1,HORIZONS HOME HEALTH SERVICES,0,,57,1.45,0.7,0,3.8,7.4,2,0,14,45,LIVONIA,53,37,32,,21,16,,0,8,25,8,6,23,21,45,60,74,53,,57,2,,13,4,237768,MI,"13407 FARMINGTON ROAD, STE #206",72,221641,,226877,244314,,,48150
1,ABLING HANDS HOME HEALTH CARE,0,,57,2.47,0.8,0,1.7,2.9,16.3,0.1,21.8,15,MOUNT STERLING,38,,22,,16,,,0,11,21,8,11,34,47,55,68,39,53,,47,11,66,16,13,368273,OH,"40 1/2 NORTH LONDON STREET, SUITE C",64,217208,,183834,190907,,20,43143
1,SAS HOME HEALTH SERVICES INC,0,,57,1.7,4,0,0.1,0.6,8.7,0.1,13.5,20,GRAND PRAIRIE,45,,20,,25,,0,0,27,20,4,7,29,20,29,,58,60,,62,4,71,64,7,747557,TX,4593 MOUNTAIN LAUREL DRIVE,152,368357,,308482,317284,,22,75052
1,JUST ABSOLUTE HEALTH CARE SERVICES LLC,0,,57,2.23,0,0,0,3,8.6,0,11.6,29,RICHMOND,42,31,18,,24,11,0,0,19,17,5,2,21,21,21,55,60,69,,52,7,,29,5,747698,TX,7514 NORTHFORK HOLLOW LANE,108,187685,,252221,257714,,,77407
1,"STEADFAST HEALTHCARE, LLC",0,,57,1.94,0,0,0.1,8.1,8.8,0,16.9,63,HOUSTON,73,62,43,,30,11,,0,37,25,1,1,29,30,27,52,53,67,,53,4,59,19,3,747715,TX,13311 ARLON TRAIL,246,662441,,695301,710351,,,77082
1,DURACARE HOME HEALTH SERVICES,0,0,57,1.71,0,0,0,10,9.3,0,19.3,56,HOUSTON,62,45,21,0,41,17,,0,6,24,2,5,31,21,23,,52,44,,53,2,,18,3,747758,TX,6065 HILLCROFT #400,145,657901,,463091,473440,,,77081
1,"UNITED AMERICA HOME HEALTH SERVICES, INC.",0,0,57,2.24,0.6,0,0,0.4,8.2,0,9.2,96,HOUSTON,113,77,64,,49,36,0,0.8,15,19,7,7,29,28,33,59,60,55,,55,5,73,24,4,677869,TX,11200 WESTHEIMER RD 350,355,507988,3922,679918,747944,13,,77042
1,"AMER-CU HOME CARE, INC.",0,0,58,2.06,0.6,0,0,0.2,27.5,0,28.4,,MIAMI,15,,,,,,0,7.6,27,0,0,13,7,7,,27,33,33,73,47,0,27,,0,108192,FL,3271 NW 7TH ST STE 210,69,195927,,138211,130781,,,33125
