Number of Records,Asian Hospice Beneficiaries,Average Age,Black Hospice Beneficiaries,City,Female Hospice Beneficiaries,Hispanic Hospice Beneficiaries,Home Health Visit Hours Per Day,Home Health Visit Hours Per Day During Week Prior To Death,Hospice Beneficiaries,Hospice Beneficiaries With A Primary Diagnosis Of Cancer,Hospice Beneficiaries With A Primary Diagnosis Of Circulatory Heart Disease,Hospice Beneficiaries With A Primary Diagnosis Of Dementia,Hospice Beneficiaries With A Primary Diagnosis Of Respiratory Disease,Hospice Beneficiaries With A Primary Diagnosis Of Stroke,Hospice Beneficiaries With More Than One Hundred Eighty Hospice Care Days,Hospice Beneficiaries With More Than Sixty Hospice Care Days,Hospice Beneficiaries With Other Primary Diagnoses,Hospice Beneficiaries With Seven Or Fewer Hospice Care Days,Hrr,Male Hospice Beneficiaries,Medicaid Eligible Hospice Beneficiaries,Medicare Advantage Hospice Beneficiaries,Name,Other Unknown Race Hospice Beneficiaries,Percent Routine Home Care Days,Physician Services,Provider Id,Site Of Service Assisted Living Facility Hospice Beneficiaries,Site Of Service Home Hospice Beneficiaries,Site Of Service Inpatient Hospice Hospice Beneficiaries,Site Of Service Inpatient Hospital Hospice Beneficiaries,Site Of Service Long Term Care Or Non Skilled Nursing Facility Hospice Beneficiaries,Site Of Service Other Facility Hospice Beneficiaries,Site Of Service Skilled Nursing Facility Hospice Beneficiaries,Skilled Nursing Visit Hours Per Day,Skilled Nursing Visit Hours Per Day During Week Prior To Death,Social Service Visit Hours Per Day,Social Service Visit Hours Per Day During Week Prior To Death,State,Street Address,Total Charge Amount,Total Days,Total Live Discharges,Total Medicare Payment Amount,Total Medicare Standard Payment Amount,White Hospice Beneficiaries,Zip Code
1,28,81.9,54,GILBERT,1497,156,0.274,0.425,2701,866,547,544,265,160,333,863,319,710,AZ - Mesa,1204,432,1218,HOSPICE OF THE VALLEY EAST,47,97,4104,31505,429,1123,568,,0,,211,0.303,0.266,0.076,0.113,AZ,2020 EAST WOODSIDE COURT,44635150,181261,285,32204708,31094663,2416,85297
1,,80.8,58,GILBERT,985,144,0.319,0.409,1959,611,302,135,339,218,106,301,354,952,AZ - Mesa,974,283,973,BANNER HOSPICE,,92,4558,31520,196,690,1056,0,,,15,0.366,0.631,0.044,0.057,AZ,"275 EAST GERMANN ROAD, SUITE 110N",33637453,68432,172,14370960,13798647,1716,85297
1,,82.5,13,MESA,242,26,0.273,0.3,476,102,139,93,67,21,106,222,54,75,AZ - Mesa,234,79,204,HOSPICE FAMILY CARE,,98,244,31537,150,263,55,0,,,,0.268,0.479,0.047,0.066,AZ,"1550 SOUTH ALMA SCHOOL ROAD, SUITE 102",11527176,46764,76,7756329,7511843,430,85210
1,,83.3,,MESA,141,13,0.327,0.168,251,33,44,75,49,17,49,127,33,42,AZ - Mesa,110,65,120,HOSPICE OF THE SOUTHWEST,,99,84,31557,120,92,,0,13,,18,0.253,0.365,0.046,0.142,AZ,"450 NORTH DOBSON, SUITE 108",6595229,24108,81,3937271,3801200,223,85201
1,,82.8,,MESA,204,24,0.315,0.26,360,65,58,102,37,,66,162,89,55,AZ - Mesa,156,86,189,AMERICARE HOSPICE AND PALLIATIVE CARE,,98,83,31563,142,160,28,0,25,,,0.289,0.458,0.048,0.092,AZ,"1212 NORTH SPENCER STREET, SUITE 2",8776228,33692,52,5582992,5350582,321,85203
1,,83.7,,CHANDLER,95,,0.295,0.134,162,40,35,48,13,,20,64,20,27,AZ - Mesa,67,44,73,"EAST VALLEY HOSPICE, PLC",,100,0,31578,65,85,,0,0,,,0.14,0.241,0.034,0.048,AZ,"1311 WEST CHANDLER BOULEVARD, SUITE 200",2733441,12080,41,1952492,1869997,146,85224
1,,81.9,12,TEMPE,229,32,0.238,0.116,402,84,141,45,78,12,87,188,42,60,AZ - Mesa,173,85,189,"GRACE HOSPICE OF ARIZONA, INC",,98,0,31587,73,248,,0,0,,44,0.245,0.28,0.044,0.071,AZ,"2141 EAST BROADWAY ROAD, SUITE 110",7913931,37907,109,6230509,5965226,350,85282
1,,83.4,,CHANDLER,141,28,0.066,0.027,216,25,61,71,20,13,65,143,26,13,AZ - Mesa,75,76,122,HOMESTEAD HOSPICE AND PALLIATIVE CARE OF MARICOPA,,99,,31590,90,109,,,,0,13,0.045,0.052,0.009,0.012,AZ,"312 NORTH ALMA SCHOOL ROAD, SUITE 11",9868171,27883,48,4567954,4379244,178,85224
1,,81.2,15,CHANDLER,142,24,0.213,0.116,237,23,54,87,26,23,53,117,24,29,AZ - Mesa,95,112,163,EMBLEM HOSPICE,,100,0,31595,105,61,0,,,0,68,0.206,0.247,0.027,0.039,AZ,88 SOUTH SAN MARCOS PLACE,5704064,25323,29,4106518,3934388,192,85225
1,,83.3,12,MESA,253,33,0.426,0.192,394,49,51,,24,17,77,188,,45,AZ - Mesa,141,109,185,REFLECTIONS HOSPICE CARE,,99,39,31601,252,116,,,0,0,21,0.213,0.26,0.031,0.053,AZ,"1840 EAST UNIVERSITY DRIVE, SUITE 6",10256653,38864,91,6316331,6049678,341,85203
1,,82,,MESA,156,32,0.352,0.413,261,31,104,59,28,15,45,130,24,28,AZ - Mesa,105,67,148,COMPANION HOSPICE AND PALLIATIVE CARE OF MARICOPA,,97,154,31608,39,199,,,0,,14,0.336,0.623,0.028,0.062,AZ,"1930 SOUTH ALMA SCHOOL ROAD, SUITE D105",6459424,24262,53,4232603,4057586,216,85210
1,,86.6,0,PHOENIX,,,0.319,0.145,33,0,14,12,,,,23,,,AZ - Mesa,,,15,"VALLEY OF THE SUN HOSPICE, LLC",0,100,0,31600,,26,0,0,,0,0,0.196,0.122,0.033,0.071,AZ,"1501 EAST ORANGEWOOD AVENUE, SUITE A",933939,4318,14,695042,667440,29,85020
1,,82.7,,MESA,27,,0.326,0.203,42,,20,11,,,0,25,0,,AZ - Mesa,15,18,27,"HALLMARK HOSPICE, LLC",,100,0,31597,21,19,0,0,,0,,0.178,0.263,0.065,0.07,AZ,6336 EAST BROWN ROAD,658306,2652,30,427794,408979,32,85205
1,0,84.1,0,MESA,24,0,0.204,0.107,40,,13,,,,,15,,11,AZ - Mesa,16,,11,HOSPICE AT HOME OF ARIZONA,0,99,15,31623,,29,,0,0,0,0,0.319,0.342,0.028,0.074,AZ,"7254 EAST SOUTHERN AVENUE, SUITE 111",504886,2801,,454928,436193,40,85209
