Number of Records,Address,City,County Name,Effectiveness Of Care National Comparison,Effectiveness Of Care National Comparison Footnote,Efficient Use Of Medical Imaging National Comparison,Efficient Use Of Medical Imaging National Comparison Footnote,Emergency Services,Hospital Name,Hospital Overall Rating,Hospital Overall Rating Footnote,Hospital Ownership,Hospital Type,Location,Meets Criteria For Meaningful Use Of Ehrs,Mortality National Comparison,Mortality National Comparison Footnote,Patient Experience National Comparison,Patient Experience National Comparison Footnote,Phone Number,Provider Id,Readmission National Comparison,Readmission National Comparison Footnote,Safety Of Care National Comparison,Safety Of Care National Comparison Footnote,State,Timeliness Of Care National Comparison,Timeliness Of Care National Comparison Footnote,Zip Code
1,1190 WAIANUENUE AVENUE,HILO,HAWAII,Above the national average,,Below the national average,,True,HILO MEDICAL CENTER,4,,Government - State,Acute Care Hospitals,"1190 WAIANUENUE AVENUE HILO, HI 96720 (19.717467, -155.113513)",True,Same as the national average,,Same as the national average,,(808) 932-3000,120005,Above the national average,,Above the national average,,HI,Below the national average,,96720
1,1650 COWLES STREET,FAIRBANKS,FAIRBANKS NORTH STAR,Same as the national average,,Same as the national average,,True,FAIRBANKS MEMORIAL HOSPITAL,5,,Voluntary non-profit - Private,Acute Care Hospitals,"1650 COWLES STREET FAIRBANKS, AK 99701 (64.831407, -147.736254)",True,Same as the national average,,Same as the national average,,(907) 452-8181,020012,Above the national average,,Above the national average,,AK,Same as the national average,,99701
1,100 KENYON AVE,WAKEFIELD,WASHINGTON,Same as the national average,,Same as the national average,,True,SOUTH COUNTY HOSPITAL INC,5,,Voluntary non-profit - Private,Acute Care Hospitals,"100 KENYON AVE WAKEFIELD, RI 02879 (41.431883, -71.495882)",True,Same as the national average,,Above the national average,,(401) 782-8020,410008,Above the national average,,Above the national average,,RI,Below the national average,,02879
1,4315 DIPLOMACY DR,ANCHORAGE,ANCHORAGE,Same as the national average,,Not Available,16,True,ALASKA NATIVE MEDICAL CENTER,2,,Government - Federal,Acute Care Hospitals,"4315 DIPLOMACY DR ANCHORAGE, AK 99508 (61.18189, -149.800578)",,Same as the national average,,Below the national average,,(907) 729-3971,020026,Above the national average,,Below the national average,,AK,Below the national average,,99508
1,110 IRVING ST NW,WASHINGTON,THE DISTRICT,Below the national average,,Above the national average,,True,MEDSTAR WASHINGTON HOSPITAL CENTER,1,,Voluntary non-profit - Other,Acute Care Hospitals,"110 IRVING ST NW WASHINGTON, DC 20010 (38.929157, -77.012268)",True,Above the national average,,Below the national average,,(202) 877-7000,090011,Below the national average,,Below the national average,,DC,Below the national average,,20010
1,5255 LOUGHBORO RD NW,WASHINGTON,THE DISTRICT,Above the national average,,Above the national average,,True,SIBLEY MEMORIAL HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,"5255 LOUGHBORO RD NW WASHINGTON, DC 20016 (38.935747, -77.109889)",True,Same as the national average,,Above the national average,,(202) 537-4680,090005,Below the national average,,Below the national average,,DC,Below the national average,,20016
1,3800 RESERVOIR RD,WASHINGTON,THE DISTRICT,Same as the national average,,Above the national average,,True,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"3800 RESERVOIR RD WASHINGTON, DC 20007 (38.912599, -77.074388)",True,Same as the national average,,Same as the national average,,(202) 784-3000,090004,Below the national average,,Below the national average,,DC,Below the national average,,20007
1,640 S STATE STREET,DOVER,KENT,Below the national average,,Same as the national average,,True,"BAYHEALTH HOSPITAL, KENT CAMPUS",3,,Voluntary non-profit - Private,Acute Care Hospitals,"640 S STATE STREET DOVER, DE 19901 (39.150687, -75.522327)",True,Above the national average,,Same as the national average,,(302) 744-7001,080004,Below the national average,,Below the national average,,DE,Below the national average,,19901
1,221 MAHALANI STREET,WAILUKU,MAUI,Below the national average,,Above the national average,,False,MAUI MEMORIAL MEDICAL CENTER,3,,Government - State,Acute Care Hospitals,"221 MAHALANI STREET WAILUKU, HI 96793 (20.884455, -156.488087)",,Same as the national average,,Below the national average,,(808) 442-5101,120002,Above the national average,,Above the national average,,HI,Below the national average,,96793
1,2500 SOUTH WOODWORTH LOOP,PALMER,MATANUSKA-SUSITNA,Same as the national average,,Same as the national average,,True,MAT-SU REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Other,Acute Care Hospitals,"2500 SOUTH WOODWORTH LOOP PALMER, AK 99645 (61.561217, -149.258718)",True,Same as the national average,,Same as the national average,,(907) 861-6000,020006,Above the national average,,Same as the national average,,AK,Same as the national average,,99645
1,347 NORTH KUAKINI STREET,HONOLULU,HONOLULU,Same as the national average,,Same as the national average,,True,KUAKINI MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"347 NORTH KUAKINI STREET HONOLULU, HI 96817 (21.322211, -157.856211)",,Same as the national average,,Below the national average,,(808) 536-2236,120007,Above the national average,,Same as the national average,,HI,Same as the national average,,96817
1,1310 SOUTHERN AVENUE  SE,WASHINGTON,THE DISTRICT,Below the national average,,Not Available,5,True,UNITED MEDICAL CENTER,1,,Proprietary,Acute Care Hospitals,"1310 SOUTHERN AVENUE SE WASHINGTON, DC 20032 (38.834155, -76.984698)",True,Same as the national average,,Below the national average,,(202) 574-6611,090008,Below the national average,,Same as the national average,,DC,Below the national average,,20032
1,115 CASS AVENUE,WOONSOCKET,PROVIDENCE,Same as the national average,,Not Available,5,True,LANDMARK MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"115 CASS AVENUE WOONSOCKET, RI 02895 (42.00532, -71.49621)",True,Same as the national average,,Below the national average,,(401) 769-4100,410011,Below the national average,,Above the national average,,RI,Same as the national average,,02895
1,101 DUDLEY STREET,PROVIDENCE,PROVIDENCE,Same as the national average,,Not Available,5,True,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,3,,Voluntary non-profit - Private,Acute Care Hospitals,"101 DUDLEY STREET PROVIDENCE, RI 02905 (41.8102, -71.411562)",True,Not Available,16,Same as the national average,,(401) 274-1100,410010,Not Available,5,Above the national average,,RI,Above the national average,,02905
1,98-1079 MOANALUA ROAD,AIEA,HONOLULU,Above the national average,,Same as the national average,,True,PALI MOMI MEDICAL CENTER,5,,Proprietary,Acute Care Hospitals,"98-1079 MOANALUA ROAD AIEA, HI 96701 (21.383988, -157.937675)",True,Same as the national average,,Above the national average,,(808) 486-6000,120026,Above the national average,,Above the national average,,HI,Same as the national average,,96701
1,250 HOSPITAL PLACE,SOLDOTNA,KENAI PENINSULA,Same as the national average,,Same as the national average,,True,CENTRAL PENINSULA GENERAL HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,"250 HOSPITAL PLACE SOLDOTNA, AK 99669 (60.493865, -151.077658)",True,Same as the national average,,Same as the national average,,(907) 262-4404,020024,Above the national average,,Below the national average,,AK,Below the national average,,99669
1,900 23RD ST NW,WASHINGTON,THE DISTRICT,Same as the national average,,Same as the national average,,True,GEORGE WASHINGTON UNIV HOSPITAL,1,,Proprietary,Acute Care Hospitals,"900 23RD ST NW WASHINGTON, DC 20037 (38.901169, -77.050119)",True,Same as the national average,,Below the national average,,(202) 716-4605,090001,Below the national average,,Below the national average,,DC,Below the national average,,20037
